id	category	name	description	xref	provided_by	synonym	deprecated	iri	same_as	subsets
MONDO:1011707	biolink:Disease	congenital dyserythropoietic anemia, non-human animal		OMIA:002300	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011707		
MONDO:1011708	biolink:Disease	dyserythropoietic anemia and myopathy syndrome, non-human animal		OMIA:002564	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011708		
MONDO:1011709	biolink:Disease	ear necrosis syndrome, non-human animal		OMIA:001711	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011709		
MONDO:1011710	biolink:Disease	bilateral deafness and vestibular dysfunction, non-human animal		OMIA:002148	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011710		
MONDO:1011711	biolink:Disease	unilateral deafness and vestibular dysfunction, non-human animal		OMIA:002196	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011711		
MONDO:1011712	biolink:Disease	alloxan-diabetes, non-human animal		OMIA:000029	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011712		
MONDO:1011713	biolink:Disease	malignant hyperthermia, non-human animal		OMIA:000621	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011713		
MONDO:1011714	biolink:Disease	hypocatalasia, non-human animal		OMIA:001138	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011714		
MONDO:1011715	biolink:Disease	pseudocholinesterase deficiency, non-human animal		OMIA:001205	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011715		
MONDO:1011716	biolink:Disease	hyperornithinemia, hyperammonemia, and homocitrullinuria syndrome, non-human animal		OMIA:001290	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011716		
MONDO:1011717	biolink:Disease	pulmonary hypoplasia with anasarca, non-human animal		OMIA:001562	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011717		
MONDO:1011718	biolink:Disease	Kurosawa and Kusanagi hypercholesterolaemia, non-human animal		OMIA:001567	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011718		
MONDO:1011719	biolink:Disease	intestinal cobalamin (vitamin B12) malabsorption, non-human animal		OMIA:001791	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011719		
MONDO:1011720	biolink:Disease	subclinical hypocalcemia, non-human animal		OMIA:002048	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011720		
MONDO:1011721	biolink:Disease	subclinical hypomagnesemia, non-human animal		OMIA:002050	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011721		
MONDO:1011722	biolink:Disease	cytochrome B-related exercise intolerance, non-human animal		OMIA:002407	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011722		
MONDO:1011723	biolink:Disease	mitochondrial fission encephalopathy, non-human animal		OMIA:002551	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011723		
MONDO:1011724	biolink:Disease	immunodeficiency disease, non-human animal		OMIA:000550	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011724		
MONDO:1011725	biolink:Disease	immunoglobulin 7S deficiency, non-human animal		OMIA:000551	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011725		
MONDO:1011726	biolink:Disease	immunoglobulin A deficiency, non-human animal		OMIA:000552	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011726		
MONDO:1011727	biolink:Disease	immunoglobulin G deficiency, non-human animal		OMIA:000554	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011727		
MONDO:1011728	biolink:Disease	immunoglobulin G2 deficiency, non-human animal		OMIA:000555	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011728		
MONDO:1011729	biolink:Disease	immunoglobulin M deficiency, non-human animal		OMIA:000556	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011729		
MONDO:1011730	biolink:Disease	complement component 4 deficiency, non-human animal		OMIA:001626	mondo.json	C4 deficiency, non-human animal		http://purl.obolibrary.org/obo/MONDO_1011730		
MONDO:1011731	biolink:Disease	multiple autoimmune diseases syndrome, non-human animal		OMIA:001808	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011731		
MONDO:1011732	biolink:Disease	autosomal T cell-negative, B cell-negative, NK cell-positive severe combined immunodeficiency disease with sensitivity to ionizing radiation, non-human animal		OMIA:001986	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011732		
MONDO:1011733	biolink:Disease	atopy, non-human animal		OMIA:000082	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011733		
MONDO:1011734	biolink:Disease	black hair follicular dysplasia, non-human animal		OMIA:000110	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011734		
MONDO:1011735	biolink:Disease	dermal allergy, non-human animal		OMIA:000268	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011735		
MONDO:1011736	biolink:Disease	dermatosis vegetans, non-human animal		OMIA:000271	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011736		
MONDO:1011737	biolink:Disease	dystrophic epidermolysis bullosa, non-human animal		OMIA:000341	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011737		
MONDO:1011738	biolink:Disease	focal metatarsal fistula, non-human animal		OMIA:000389	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011738		
MONDO:1011739	biolink:Disease	congenital hypotrichosis with thymic aplasia, non-human animal		OMIA:000544	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011739		
MONDO:1011740	biolink:Disease	primary seborrhea-oleosa, non-human animal		OMIA:000822	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011740		
MONDO:1011741	biolink:Disease	cutaneous papillomatosis, non-human animal		OMIA:001147	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011741		
MONDO:1011742	biolink:Disease	congenital erythropoietic porphyria, non-human animal		OMIA:001175	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011742		
MONDO:1011743	biolink:Disease	nodular dermatofibrosis and kidney disease, non-human animal		OMIA:001195	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011743		
MONDO:1011744	biolink:Disease	cutaneous and renal vasculopathy, non-human animal		OMIA:001220	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011744		
MONDO:1011745	biolink:Disease	comedo syndrome, non-human animal		OMIA:001272	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011745		
MONDO:1011746	biolink:Disease	facial eczema, non-human animal		OMIA:001276	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011746		
MONDO:1011747	biolink:Disease	recessive hypotrichosis, non-human animal		OMIA:001279	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011747		
MONDO:1011748	biolink:Disease	urticaria pigmentosa, non-human animal		OMIA:001289	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011748		
MONDO:1011749	biolink:Disease	linear IgA disease, non-human animal		OMIA:001330	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011749		
MONDO:1011750	biolink:Disease	follicular dysplasia and interface dermatitis, non-human animal		OMIA:001369	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011750		
MONDO:1011751	biolink:Disease	acrochordonous plaque, non-human animal		OMIA:001370	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011751		
