source	target
CHEBI:18243	UMLS:C0857353
CHEBI:8378	MONDO:0006982
CHEBI:36704	HP:0032187
UMLS:C0003195	UMLS:C0260397
UMLS:C0626053	UMLS:C0260397
CHEBI:9765	UMLS:C0260397
CHEBI:4735	UMLS:C0260397
PUBCHEM.COMPOUND:75007581	UMLS:C0260397
CHEBI:2509	UMLS:C0260397
UMLS:C0279328	MONDO:0004835
UMLS:C1136254	MONDO:0004835
UMLS:C0003232	MONDO:0004835
CHEBI:41774	MONDO:0018992
MESH:D000305	MONDO:0016367
CHEBI:8378	MONDO:0016367
CHEBI:2948	MONDO:0016367
CHEBI:61049	MONDO:0016367
CHEBI:35341	MONDO:0016367
CHEBI:4027	MONDO:0016367
MESH:D007166	MONDO:0016367
UMLS:C1527392	MONDO:0016367
UNII:4F4X42SYQ6	MONDO:0016367
CHEBI:4031	MONDO:0016367
CHEBI:28001	UMLS:C0235952
CHEBI:6909	UMLS:C0235952
UMLS:C0003232	UMLS:C0235952
CHEBI:63941	MONDO:0018500
CHEBI:16664	MONDO:0018500
CHEBI:45979	MONDO:0018500
CHEBI:6067	MONDO:0004844
CHEBI:17579	MONDO:0004844
CHEBI:4702	MONDO:0010725
MESH:D000305	MONDO:0003014
CHEBI:5134	MONDO:0003014
CHEBI:3374	MONDO:0003014
CHEBI:3207	MONDO:0003014
CHEBI:35341	MONDO:0003014
MESH:D000305	MONDO:0005093
CHEBI:26537	MONDO:0005093
UMLS:C0003209	MONDO:0005093
UMLS:C1562036	MONDO:0005093
UMLS:C0243077	MONDO:0005093
UMLS:C1611640	MONDO:0005093
CHEBI:61049	MONDO:0005093
CHEBI:18358	MONDO:0005093
CHEBI:9667	MONDO:0005093
UMLS:C0304604	MONDO:0005093
CHEBI:135888	MONDO:0005093
CHEBI:6067	MONDO:0005093
UMLS:C0450442	MONDO:0005093
MESH:D007166	MONDO:0005093
CHEBI:27616	MONDO:0005093
UMLS:C0013227	MONDO:0005093
CHEBI:94591	MONDO:0005093
UMLS:C1527392	MONDO:0005093
UMLS:C0005522	MONDO:0005093
CHEBI:4325	MONDO:0005093
CHEBI:27732	UMLS:C0751188
UMLS:C0242402	UMLS:C0740418
MESH:D000305	MONDO:0007179
MESH:D019444	MONDO:0007179
CHEBI:8764	MONDO:0007179
UMLS:C0003209	MONDO:0007179
UMLS:C0242708	MONDO:0007179
MESH:D007136	MONDO:0007179
CHEBI:5801	MONDO:0007179
CHEBI:9747	MONDO:0007179
CHEBI:2948	MONDO:0007179
UMLS:C0243192	MONDO:0007179
CHEBI:44185	MONDO:0007179
UMLS:C1611640	MONDO:0007179
UMLS:C0243076	MONDO:0007179
UMLS:C0003374	MONDO:0007179
UMLS:C0076797	MONDO:0007179
UMLS:C0005525	MONDO:0007179
CHEBI:168396	MONDO:0007179
UMLS:C0879551	MONDO:0007179
CHEBI:61049	MONDO:0007179
UNII:OP401G7OJC	MONDO:0007179
CHEBI:6402	MONDO:0007179
UMLS:C0450442	MONDO:0007179
MESH:D007166	MONDO:0007179
MESH:D007372	MONDO:0007179
UNII:4F4X42SYQ6	MONDO:0007179
CHEBI:50692	MONDO:0018912
CHEBI:5783	MONDO:0018912
CHEBI:44241	MONDO:0018912
CHEBI:32260	MONDO:0018912
CHEBI:2654	MONDO:0018912
CHEBI:47518	MONDO:0018912
CHEBI:44185	MONDO:0004355
PUBCHEM.COMPOUND:667490	MONDO:0004355
CHEBI:27300	HP:0025502
CHEBI:5931	HP:0025502
CHEBI:15903	HP:0025502
CHEBI:50122	HP:0025502
CHEBI:94686	HP:0025502
MESH:C034130	HP:0025502
CHEBI:6801	HP:0025502
CHEBI:34967	HP:0025502
CHEBI:9137	HP:0025502
UMLS:C0003211	UMLS:C0038045
MESH:D000305	HP:0006528
CHEBI:4463	HP:0006528
CHEBI:5783	HP:0006528
CHEBI:35341	HP:0006528
CHEBI:24261	HP:0006528
CHEBI:25805	HP:0006528
CHEBI:8069	HP:0002373
CHEBI:49575	HP:0002373
UMLS:C0003015	UMLS:C0231221
CHEBI:10110	UMLS:C0231221
CHEBI:6076	MONDO:0005706
CHEBI:46081	MONDO:0005706
CHEBI:2682	MONDO:0005706
CHEBI:47518	MONDO:0005706
UMLS:C0003195	HP:0011700
UNII:T472P45MG6	UMLS:C0016662
UMLS:C0003232	UMLS:C0016662
CHEBI:16755	MONDO:0008948
CHEBI:2453	UMLS:C0019340
MESH:D000305	MONDO:0000687
CHEBI:27300	MONDO:0000687
UMLS:C0243077	MONDO:0000687
CHEBI:44185	MONDO:0000687
CHEBI:6942	MONDO:0000687
CHEBI:53612	MONDO:0000687
CHEBI:9667	MONDO:0000687
CHEBI:37510	MONDO:0000687
CHEBI:35341	MONDO:0000687
UMLS:C0450442	MONDO:0000687
CHEBI:53074	MONDO:0000687
CHEBI:4031	MONDO:0000687
CHEBI:3561	MONDO:0850230
CHEBI:44185	MONDO:0850230
CHEBI:135673	MONDO:0850230
UMLS:C1136312	MONDO:0850230
CHEBI:4710	MONDO:0850230
CHEBI:94559	MONDO:0850230
CHEBI:291342	MONDO:0850230
CHEBI:9453	MONDO:0850230
UMLS:C0019592	MONDO:0850230
CHEBI:49159	MONDO:0850230
UMLS:C0450442	MONDO:0850230
CHEBI:4031	MONDO:0850230
PUBCHEM.COMPOUND:23686432	MONDO:0005487
CHEBI:5613	MONDO:0005487
UMLS:C1276996	MONDO:0005487
CHEBI:10119	MONDO:0005487
CHEBI:3766	MONDO:0005487
UMLS:C0040615	MONDO:0005487
CHEBI:63599	MONDO:0019391
CHEBI:4027	MONDO:0019391
CHEBI:27504	MONDO:0019391
CHEBI:8764	MONDO:0012833
MESH:D000305	MONDO:0008661
UMLS:C1562036	MONDO:0008661
CHEBI:27300	MONDO:0008661
CHEBI:17295	MONDO:0008661
CHEBI:18358	MONDO:0008661
CHEBI:50749	MONDO:0008661
UMLS:C0304604	MONDO:0008661
CHEBI:135888	MONDO:0008661
CHEBI:46345	MONDO:0008661
CHEBI:27616	MONDO:0008661
UMLS:C1527392	MONDO:0008661
CHEBI:31414	MONDO:0008661
PUBCHEM.COMPOUND:5284378	MONDO:0008608
CHEBI:18332	MONDO:0008608
CHEBI:8874	MONDO:0008608
CHEBI:53289	MONDO:0008608
MESH:D000305	MONDO:0001875
MESH:D000305	MONDO:0021167
UNII:4F4X42SYQ6	MONDO:0021167
CHEBI:600103	MONDO:0000565
CHEBI:28001	MONDO:0000565
CHEBI:27412	MONDO:0000565
UMLS:C1136254	MONDO:0000565
UMLS:C0003232	MONDO:0000565
CHEBI:28001	UMLS:C1269831
CHEBI:63607	UMLS:C1269831
PUBCHEM.COMPOUND:54686904	UMLS:C1269831
CHEBI:36047	UMLS:C1269831
CHEBI:34650	UMLS:C1269831
UMLS:C0526513	UMLS:C1269831
CHEBI:43968	UMLS:C1269831
UMLS:C0450442	UMLS:C1269831
UMLS:C1136254	UMLS:C1269831
UMLS:C0003232	UMLS:C1269831
CHEBI:7872	UMLS:C0425979
CHEBI:63610	UMLS:C0425979
UMLS:C0003232	UMLS:C0701825
CHEBI:6067	UMLS:C0263445
PUBCHEM.COMPOUND:14122979	MONDO:0036501
CHEBI:4672	MONDO:0036501
CHEBI:4911	MONDO:0036501
UMLS:C0243077	MONDO:0036501
CHEBI:31348	MONDO:0036501
CHEBI:175901	MONDO:0036501
CHEBI:50924	MONDO:0036501
PUBCHEM.COMPOUND:10339178	MONDO:0036501
PUBCHEM.COMPOUND:5460033	MONDO:0036501
CHEBI:80630	MONDO:0036501
UMLS:C0450442	MONDO:0036501
CHEBI:46345	MONDO:0036501
CHEBI:45863	MONDO:0036501
UMLS:C0678133	MONDO:0036501
MESH:D004164	MONDO:0002123
CHEBI:101278	MONDO:0002123
PUBCHEM.COMPOUND:516892	MONDO:0012819
UMLS:C0243077	MONDO:0012819
CHEBI:15903	MONDO:0012819
CHEBI:72564	MONDO:0002714
CHEBI:27902	MONDO:0021697
CHEBI:31555	MONDO:0021697
PUBCHEM.COMPOUND:54671203	MONDO:0021697
CHEBI:2955	MONDO:0021697
CHEBI:6532	MONDO:0044751
PUBCHEM.COMPOUND:137699107	MONDO:0044751
CHEBI:46345	MONDO:0002032
CHEBI:63941	MONDO:0016075
CHEBI:16664	MONDO:0016075
CHEBI:4527	MONDO:0016075
UMLS:C0012192	MONDO:0016075
UMLS:C0357131	UMLS:C0857322
UNII:15UQ94PT4P	UMLS:C0857322
PUBCHEM.COMPOUND:49800026	UMLS:C0857322
CHEBI:3732	UMLS:C0206171
CHEBI:29688	UMLS:C0206171
CHEBI:36047	UMLS:C0206171
CHEBI:87211	UMLS:C0206171
UMLS:C0450442	UMLS:C0206171
UMLS:C1136254	UMLS:C0206171
UMLS:C0041044	UMLS:C0206171
CHEBI:2955	UMLS:C0206171
UMLS:C0003232	UMLS:C0206171
CHEBI:16643	MONDO:0043693
CHEBI:8502	MONDO:0043693
UMLS:C0003402	MONDO:0043693
