source,target
CHEBI:4304,MONDO:0005441
DRUGBANK:DB16611,MONDO:0017572
UNII:8L7891MRB6,EFO:1001480
UNII:2999F27MAD,HP:0002018
CHEBI:66917,MONDO:0008661
CHEBI:50730,MONDO:0005324
CHEBI:49662,MONDO:0005178
CHEBI:5106,UMLS:C1322281
CHEBI:17824,MONDO:0020546
PUBCHEM.COMPOUND:9874151,UMLS:C0520676
UNII:3160WY51LV,MONDO:0024327
CHEBI:40279,MONDO:0005393
CHEBI:28918,MONDO:0010481
CHEBI:3077,MONDO:0019444
CHEBI:60648,MONDO:0005777
CHEBI:29103,MONDO:0024647
CHEBI:8890,MONDO:0005101
CHEBI:5950,UMLS:C0003107
DRUGBANK:DB15483,MONDO:0004651
CHEBI:32248,MONDO:0015766
RXCUI:1152284,NCIT:C50995
CHEBI:9671,UMLS:C0238094
CHEBI:31524,MONDO:0007803
CHEBI:4469,MONDO:0007743
CHEBI:10124,MONDO:0005277
CHEBI:71200,MONDO:0005101
CHEBI:22907,MONDO:0006060
CHEBI:75922,MONDO:0003005
CHEBI:17439,MONDO:0010138
PUBCHEM.COMPOUND:78097275,MONDO:0005354
CHEBI:9570,MONDO:0004200
CHEBI:3398,MONDO:0010481
CHEBI:8028,MONDO:0005090
CHEBI:47657,UMLS:C0741804
UNII:QI30938BMS,UMLS:C0273112
CHEBI:6888,MONDO:0006042
CHEBI:68478,MONDO:0007254
PUBCHEM.COMPOUND:91820600,MONDO:0004951
CHEBI:8382,MONDO:0019444
CHEBI:72312,MONDO:0019933
CHEBI:68551,UMLS:C0267509
RXCUI:375139,NCIT:C50743
CHEBI:90939,MONDO:0009693
CHEBI:50749,MONDO:0005083
CHEBI:27436,MONDO:8000015
CHEBI:65349,UMLS:C0150045
CHEBI:2955,MONDO:0005002
CHEBI:3640,MONDO:0005044
CHEBI:7852,HP:0012532
CHEBI:144551,MONDO:0006624
RXCUI:1100064,MONDO:0005178
CHEBI:71229,MONDO:0021201
UNII:6G935I42TK,MONDO:0004981
CHEBI:41879,MONDO:0019198
CHEBI:135939,MONDO:0006710
UNII:UYB6UOF69L,MONDO:0007318
CHEBI:16962,UMLS:C0678202
CHEBI:28918,HP:0500096
UNII:90ZX3Q3FR7,MONDO:0005011
CHEBI:60648,MONDO:0019095
CHEBI:52017,MONDO:0024313
CHEBI:3215,UMLS:C0149896
CHEBI:28939,UMLS:C0155874
CHEBI:6888,MONDO:0043789
CHEBI:8382,MONDO:0002572
CHEBI:229680,MONDO:0006764
CHEBI:64198,UMLS:C0274920
CHEBI:3380,MONDO:0005016
CHEBI:6888,MONDO:0006918
CHEBI:70735,MONDO:0024613
RXCUI:1153890,MONDO:0004867
CHEBI:40303,MONDO:0005068
CHEBI:167574,MONDO:0004995
UNII:TRF8S0U6ON,MONDO:0010674
CHEBI:6710,UMLS:C0149875
PUBCHEM.COMPOUND:21966304,MONDO:0005578
CHEBI:17650,UMLS:C0343886
CHEBI:28741,MONDO:0005276
CHEBI:49575,MONDO:0005027
RXCUI:1552339,HP:0002013
CHEBI:85078,MONDO:0005252
UNII:T7K20Y2GWY,MONDO:0018555
RXCUI:1602752,MONDO:0002108
RXCUI:192254,MONDO:0004951
RXCUI:404914,MONDO:0006021
UNII:3A189DH42V,MONDO:0005301
CHEBI:80343,NCIT:C118469
CHEBI:6078,MONDO:0005974
UNII:L0HR9A577V,UMLS:C5577628
PUBCHEM.COMPOUND:56841573,MONDO:0005068
CHEBI:8890,MONDO:0019338
CHEBI:26710,MONDO:0005252
MESH:C541234,MONDO:0005344
CHEBI:28939,MONDO:0019438
RXCUI:375139,MONDO:0006626
UNII:PY79D6C8RX,MONDO:0001673
UNII:9013DUQ28K,MONDO:0018088
CHEBI:135809,MONDO:0004981
CHEBI:31617,MONDO:0005027
CHEBI:15552,MONDO:0017148
CHEBI:63618,UMLS:C0856526
CHEBI:32588,UMLS:C0151595
UMLS:C4534619,MONDO:0002898
CHEBI:17303,HP:0012532
CHEBI:6520,MONDO:0021211
CHEBI:6722,UMLS:C0278802
CHEBI:10033,MONDO:0005098
CHEBI:8080,NCIT:C120380
CHEBI:6456,UMLS:C0002879
CHEBI:66899,MONDO:0005338
CHEBI:7566,MONDO:0001444
PUBCHEM.COMPOUND:122361353,MONDO:0015129
CHEBI:135935,HP:0012531
UNII:GN465U8B72,MONDO:0026045
CHEBI:6888,MONDO:0004773
CHEBI:2637,HP:0000010
UNII:ZL1R02VT79,MONDO:0003005
CHEBI:59297,MONDO:0005271
CHEBI:17650,UMLS:C0274435
CHEBI:6456,MONDO:0004874
CHEBI:8874,MONDO:0005180
CHEBI:31498,UMLS:C0549202
CHEBI:17650,MONDO:0005178
CHEBI:72317,MONDO:0007256
UNII:V3888OEY5R,UMLS:C0741292
CHEBI:15355,MONDO:0005129
UNII:D99YVK4L0X,EFO:1001480
CHEBI:6888,MONDO:0015129
CHEBI:5130,MONDO:0005178
CHEBI:22907,MONDO:0005096
CHEBI:34829,MONDO:0002313
UNII:7V6HE3DM5A,MONDO:0006843
CHEBI:18420,MONDO:0018100
CHEBI:204928,MONDO:0005249
CHEBI:9605,MONDO:0005542
CHEBI:291902,MONDO:0005542
UNII:52CMI0WC3Y,MONDO:0005233
CHEBI:8382,UMLS:C0149896
CHEBI:71028,MONDO:0011628
CHEBI:31689,MONDO:0008383
DRUGBANK:DB11218,HP:0002829
CHEBI:125354,MONDO:0018908
CHEBI:17544,MONDO:0012819
DRUGBANK:DB17381,MONDO:0004200
UNII:033072U4MZ,MONDO:0010679
UNII:39N9K8S2A4,MONDO:0005438
