drug,disease
GO:0042310,MONDO:0021146
CHEBI:29007,UMLS:C0520775
CHEBI:3242,UMLS:C0002915
CHEBI:17154,MONDO:0011438
CHEBI:4822,HP:0011891
CHEBI:45924,UMLS:C0276027
CHEBI:17474,HP:0000134
CHEBI:135740,HP:0004308
CHEBI:8774,MONDO:0005147
CHEBI:29013,MONDO:0001701
CHEBI:8426,UMLS:C0268108
CHEBI:9241,MONDO:0005252
CHEBI:5109,MONDO:0019558
CHEBI:3398,MONDO:0005642
UNII:R30772KCU0,MONDO:0009693
UNII:I0BGE6P6I6,MONDO:0100096
CHEBI:5118,MONDO:0005383
CHEBI:18208,MONDO:0005631
CHEBI:7862,UMLS:C1720538
CHEBI:27902,MONDO:0001080
UNII:ZL1R02VT79,MONDO:0005266
CHEBI:3077,HP:0012027
CHEBI:50885,MONDO:0015129
CHEBI:31995,HP:0025095
UNII:T9FVH03HMZ,UMLS:C1531702
CHEBI:40303,MONDO:0005347
CHEBI:28876,MONDO:0008170
CHEBI:135772,MONDO:0019359
CHEBI:47657,UMLS:C0406317
CHEBI:3479,MONDO:0001039
CHEBI:72317,MONDO:0015277
CHEBI:17833,UMLS:C0684256
CHEBI:7903,MONDO:0005382
CHEBI:194474,MONDO:0006594
CHEBI:31677,MONDO:0005265
CHEBI:7492,UMLS:C1318955
CHEBI:177836,MONDO:0002334
CHEBI:15428,HP:0031417
CHEBI:36560,HP:0000989
CHEBI:44185,MONDO:0008383
CHEBI:2682,MONDO:0005976
CHEBI:28934,MONDO:0001220
CHEBI:134723,MONDO:0005354
CHEBI:8232,MONDO:0004277
CHEBI:3697,MONDO:0040732
CHEBI:6729,MONDO:0005459
CHEBI:71200,UMLS:C1444843
CHEBI:74947,MONDO:0009693
CHEBI:4875,MONDO:0011849
CHEBI:31677,MONDO:0015614
CHEBI:32264,MONDO:0001134
CHEBI:35176,EFO:1000003
CHEBI:75179,MONDO:0001056
CHEBI:135576,MONDO:0001134
CHEBI:2637,MONDO:0041850
CHEBI:31793,MONDO:0004247
CHEBI:2637,EFO:1001421
CHEBI:5864,MONDO:0002334
CHEBI:7459,UMLS:C1960643
UNII:T7K20Y2GWY,MONDO:0018555
CHEBI:9587,MONDO:0003619
UNII:94X46KW4AE,MONDO:0005609
CHEBI:6076,MONDO:0005672
CHEBI:4779,MONDO:0005492
CHEBI:3441,MONDO:0005044
CHEBI:554446,UMLS:C0520775
CHEBI:4636,MONDO:0005324
UNII:681K1JDI8M,MONDO:0015719
CHEBI:17833,MONDO:0006668
CHEBI:27666,MONDO:0006058
CHEBI:28445,MONDO:0001406
CHEBI:3764,MONDO:0005984
CHEBI:46859,MONDO:0008638
